group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index build time: article size,,100000,,,1208.0,ns,1
index build time: article size,,100000,,,1370.0,ns,1
index build time: article size,,100000,,,1124.0,ns,1
index build time: article size,,100000,,,1989.0,ns,1
index build time: article size,,100000,,,1189.0,ns,1
index build time: article size,,100000,,,1616.0,ns,1
index build time: article size,,100000,,,1321.0,ns,1
index build time: article size,,100000,,,1203.0,ns,1
index build time: article size,,100000,,,1203.0,ns,1
index build time: article size,,100000,,,1446.0,ns,1
index build time: article size,,100000,,,1098.0,ns,1
index build time: article size,,100000,,,1212.0,ns,1
index build time: article size,,100000,,,1647.0,ns,1
index build time: article size,,100000,,,1222.0,ns,1
index build time: article size,,100000,,,1464.0,ns,1
index build time: article size,,100000,,,1149.0,ns,1
index build time: article size,,100000,,,1153.0,ns,1
index build time: article size,,100000,,,1188.0,ns,1
index build time: article size,,100000,,,1236.0,ns,1
index build time: article size,,100000,,,1272.0,ns,1
